# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
21.40 1029338.19   0.00   0.00   0.00   0.00 275520.04
21.50 1033392.47   0.00   0.00   0.00   0.00 277200.78
21.60 1037436.51   0.00   0.00   0.00   0.00 278874.16
21.70 1041470.27   0.00   0.00   0.00   0.00 280540.03
21.80 1045493.72   0.00   0.00   0.00   0.00 282198.22
21.90 1049506.80   0.00   0.00   0.00   0.00 283848.55
22.00 1053509.48   0.00   0.00   0.00   0.00 285490.86
22.10 1057501.72   0.00   0.00   0.00   0.00 287124.99
22.20 1061483.48   0.00   0.00   0.00   0.00 288750.76
22.30 1065454.73   0.00   0.00   0.00   0.00 290368.02
22.40 1069415.42   0.00   0.00   0.00   0.00 291976.58
22.50 1073365.51   0.00   0.00   0.00   0.00 293576.30
22.60 1077304.96   0.00   0.00   0.00   0.00 295166.99
22.70 1081233.74   0.00   0.00   0.00   0.00 296748.49
22.80 1085151.80   0.00   0.00   0.00   0.00 298320.65
22.90 1089059.11   0.00   0.00   0.00   0.00 299883.29
23.00 1092955.63   0.00   0.00   0.00   0.00 301436.25
23.10 1096841.32   0.00   0.00   0.00   0.00 302979.36
23.20 1100716.14   0.00   0.00   0.00   0.00 304512.46
23.30 1104580.06   0.00   0.00   0.00   0.00 306035.38
23.40 1108433.03   0.00   0.00   0.00   0.00 307547.96
23.50 1112275.01   0.00   0.00   0.00   0.00 309050.05
23.60 1116105.97   0.00   0.00   0.00   0.00 310541.46
23.70 1119925.87   0.00   0.00   0.00   0.00 312022.05
23.80 1123734.68   0.00   0.00   0.00   0.00 313491.65
23.90 1127532.35   0.00   0.00   0.00   0.00 314950.09
24.00 1131318.85   0.00   0.00   0.00   0.00 316397.22
24.10 1135094.13   0.00   0.00   0.00   0.00 317832.88
24.20 1138858.17   0.00   0.00   0.00   0.00 319256.89
24.30 1142610.93   0.00   0.00   0.00   0.00 320669.11
24.40 1146352.36   0.00   0.00   0.00   0.00 322069.38
24.50 1150082.43   0.00   0.00   0.00   0.00 323457.53
24.60 1153801.10   0.00   0.00   0.00   0.00 324833.40
24.70 1157508.35   0.00   0.00   0.00   0.00 326196.84
24.80 1161204.12   0.00   0.00   0.00   0.00 327547.68
24.90 1164888.38   0.00   0.00   0.00   0.00 328885.78
25.00 1168561.10   0.00   0.00   0.00   0.00 330210.97
25.10 1172222.25   0.00   0.00   0.00   0.00 331523.10
25.20 1175871.77   0.00   0.00   0.00   0.00 332822.01
25.30 1179509.65   0.00   0.00   0.00   0.00 334107.54
25.40 1183135.84   0.00   0.00   0.00   0.00 335379.54
25.50 1186750.30   0.00   0.00   0.00   0.00 336637.86
25.60 1190353.00   0.00   0.00   0.00   0.00 337882.34
25.70 1193943.91   0.00   0.00   0.00   0.00 339112.84
25.80 1197522.99   0.00   0.00   0.00   0.00 340329.18
25.90 1201090.20   0.00   0.00   0.00   0.00 341531.23
26.00 1204645.51   0.00   0.00   0.00   0.00 342718.83
26.10 1208188.88   0.00   0.00   0.00   0.00 343891.84
26.20 1211720.28   0.00   0.00   0.00   0.00 345050.09
26.30 1215239.67   0.00   0.00   0.00   0.00 346193.45
26.40 1218747.02   0.00   0.00   0.00   0.00 347321.76
26.50 1222242.30   0.00   0.00   0.00   0.00 348434.87
26.60 1225725.46   0.00   0.00   0.00   0.00 349532.64
26.70 1229196.47   0.00   0.00   0.00   0.00 350614.92
26.80 1232655.31   0.00   0.00   0.00   0.00 351681.56
26.90 1236101.93   0.00   0.00   0.00   0.00 352732.42
27.00 1239536.30   0.00   0.00   0.00   0.00 353767.35
27.10 1242958.39   0.00   0.00   0.00   0.00 354786.21
27.20 1246368.16   0.00   0.00   0.00   0.00 355788.86
27.30 1249765.59   0.00   0.00   0.00   0.00 356775.14
27.40 1253150.63   0.00   0.00   0.00   0.00 357744.93
27.50 1256523.25   0.00   0.00   0.00   0.00 358698.08
27.60 1259883.42   0.00   0.00   0.00   0.00 359634.44
27.70 1263231.10   0.00   0.00   0.00   0.00 360553.88
27.80 1266566.27   0.00   0.00   0.00   0.00 361456.26
27.90 1269888.88   0.00   0.00   0.00   0.00 362341.44
28.00 1273198.92   0.00   0.00   0.00   0.00 363209.29
28.10 1276496.33   0.00   0.00   0.00   0.00 364059.66
28.20 1279781.10   0.00   0.00   0.00   0.00 364892.43
28.30 1283053.19   0.00   0.00   0.00   0.00 365707.45
28.40 1286312.56   0.00   0.00   0.00   0.00 366504.59
28.50 1289559.18   0.00   0.00   0.00   0.00 367283.72
28.60 1292793.03   0.00   0.00   0.00   0.00 368044.71
28.70 1296014.07   0.00   0.00   0.00   0.00 368787.42
28.80 1299222.26   0.00   0.00   0.00   0.00 369511.73
28.90 1302417.58   0.00   0.00   0.00   0.00 370217.51
29.00 1305600.00   0.00   0.00   0.00   0.00 370904.61
29.10 1308769.47   0.00   0.00   0.00   0.00 371572.93
29.20 1311925.98   0.00   0.00   0.00   0.00 372222.33
29.30 1315069.49   0.00   0.00   0.00   0.00 372852.68
29.40 1318199.97   0.00   0.00   0.00   0.00 373463.86
29.50 1321317.38   0.00   0.00   0.00   0.00 374055.75
29.60 1324421.70   0.00   0.00   0.00   0.00 374628.22
29.70 1327512.90   0.00   0.00   0.00   0.00 375181.15
29.80 1330590.94   0.00   0.00   0.00   0.00 375714.41
29.90 1333655.80   0.00   0.00   0.00   0.00 376227.89
30.00 1336707.44   0.00   0.00   0.00   0.00 376721.48
30.10 1339745.83   0.00   0.00   0.00   0.00 377195.04
30.20 1342770.95   0.00   0.00   0.00   0.00 377648.46
30.30 1345782.77   0.00   0.00   0.00   0.00 378081.63
30.40 1348781.25   0.00   0.00   0.00   0.00 378494.43
30.50 1351766.36   0.00   0.00   0.00   0.00 378886.74
30.60 1354738.08   0.00   0.00   0.00   0.00 379258.46
30.70 1357696.37   0.00   0.00   0.00   0.00 379609.46
30.80 1360641.22   0.00   0.00   0.00   0.00 379939.65
30.90 1363572.57   0.00   0.00   0.00   0.00 380248.90
31.00 1366490.42   0.00   0.00   0.00   0.00 380537.11
31.10 1369394.72   0.00   0.00   0.00   0.00 380804.18
31.20 1372285.46   0.00   0.00   0.00   0.00 381049.98
31.30 1375162.60   0.00   0.00   0.00   0.00 381274.43
31.40 1378026.11   0.00   0.00   0.00   0.00 381477.41
