#   This    is  an  input   file    for the tower   top force   time-series in  the TMD module  of  ServoDyn
#                                                                   
#   it  has an  arbitrary   number  of  header  lines   denoted with    #!% characters                  
!   Another comment line                                                        
#                                                                   
#   Time,   Fx, Fy, Fz, Mx, My, Mz                                      
#   (s) (N) (N) (N) (N-m)   (N-m)   (N-m)                                       
0.0 0.0 0.0 0.0 0.0 0.0 0.0
212.2   1650000.0   0.0 0.0 0.0 0.0 -6632931.2
212.3   1650000.0   0.0 0.0 0.0 0.0 -6544342.9
212.4   1650000.0   0.0 0.0 0.0 0.0 -6353820.7
212.5   1650000.0   0.0 0.0 0.0 0.0 -6289158.8
212.6   1650000.0   0.0 0.0 0.0 0.0 -6259822.2
212.7   1650000.0   0.0 0.0 0.0 0.0 -6252248.7
212.8   1650000.0   0.0 0.0 0.0 0.0 -6059172.8
212.9   1650000.0   0.0 0.0 0.0 0.0 -6074786.7
213.0   1650000.0   0.0 0.0 0.0 0.0 -6190830.4
213.1   1650000.0   0.0 0.0 0.0 0.0 -6008912.0
213.2   1650000.0   0.0 0.0 0.0 0.0 -6011484.9
213.3   1650000.0   0.0 0.0 0.0 0.0 -5930004.8
213.4   1650000.0   0.0 0.0 0.0 0.0 -5950687.7
213.5   1650000.0   0.0 0.0 0.0 0.0 -5864708.4
213.6   1650000.0   0.0 0.0 0.0 0.0 -5687150.7
213.7   1650000.0   0.0 0.0 0.0 0.0 -5620542.4
213.8   1650000.0   0.0 0.0 0.0 0.0 -5579823.8
213.9   1650000.0   0.0 0.0 0.0 0.0 -5546212.5
214.0   1650000.0   0.0 0.0 0.0 0.0 -5511136.3
214.1   1650000.0   0.0 0.0 0.0 0.0 -5461067.3
214.2   1650000.0   0.0 0.0 0.0 0.0 -5404987.9
214.3   1650000.0   0.0 0.0 0.0 0.0 -5351302.8
214.4   1650000.0   0.0 0.0 0.0 0.0 -5303055.8
214.5   1650000.0   0.0 0.0 0.0 0.0 -5073138.6
214.6   1650000.0   0.0 0.0 0.0 0.0 -5052207.6
214.7   1650000.0   0.0 0.0 0.0 0.0 -4957758.4
214.8   1650000.0   0.0 0.0 0.0 0.0 -4786564.9
214.9   1650000.0   0.0 0.0 0.0 0.0 -4909144.2
215.0   1650000.0   0.0 0.0 0.0 0.0 -4831055.7
215.1   1650000.0   0.0 0.0 0.0 0.0 -4651062.4
215.2   1650000.0   0.0 0.0 0.0 0.0 -4588076.0
215.3   1650000.0   0.0 0.0 0.0 0.0 -4564453.4
215.4   1650000.0   0.0 0.0 0.0 0.0 -4552640.9
215.5   1650000.0   0.0 0.0 0.0 0.0 -4525186.8
215.6   1650000.0   0.0 0.0 0.0 0.0 -4471483.1
215.7   1650000.0   0.0 0.0 0.0 0.0 -4229467.0
215.8   1650000.0   0.0 0.0 0.0 0.0 -4209713.4
215.9   1650000.0   0.0 0.0 0.0 0.0 -4310992.1
216.0   1650000.0   0.0 0.0 0.0 0.0 -4122947.4
216.1   1650000.0   0.0 0.0 0.0 0.0 -3928401.5
216.2   1650000.0   0.0 0.0 0.0 0.0 -4044090.2
216.3   1650000.0   0.0 0.0 0.0 0.0 -3980697.6
216.4   1650000.0   0.0 0.0 0.0 0.0 -3821991.1
216.5   1650000.0   0.0 0.0 0.0 0.0 -3756462.9
216.6   1650000.0   0.0 0.0 0.0 0.0 -3709739.7
216.7   1650000.0   0.0 0.0 0.0 0.0 -3666357.9
216.8   1650000.0   0.0 0.0 0.0 0.0 -3611936.4
216.9   1650000.0   0.0 0.0 0.0 0.0 -3543014.6
217.0   1650000.0   0.0 0.0 0.0 0.0 -3458592.3
217.1   1650000.0   0.0 0.0 0.0 0.0 -3194638.4
217.2   1650000.0   0.0 0.0 0.0 0.0 -3162999.3
217.3   1650000.0   0.0 0.0 0.0 0.0 -3253051.6
217.4   1650000.0   0.0 0.0 0.0 0.0 -3044299.9
217.5   1650000.0   0.0 0.0 0.0 0.0 -2832911.1
217.6   1650000.0   0.0 0.0 0.0 0.0 -2938369.5
217.7   1650000.0   0.0 0.0 0.0 0.0 -2876522.4
217.8   1650000.0   0.0 0.0 0.0 0.0 -2722447.0
217.9   1650000.0   0.0 0.0 0.0 0.0 -2669851.6
218.0   1650000.0   0.0 0.0 0.0 0.0 -2636245.6
218.1   1650000.0   0.0 0.0 0.0 0.0 -2610373.1
218.2   1650000.0   0.0 0.0 0.0 0.0 -2580243.1
218.3   1650000.0   0.0 0.0 0.0 0.0 -2362330.9
218.4   1650000.0   0.0 0.0 0.0 0.0 -2354374.5
218.5   1650000.0   0.0 0.0 0.0 0.0 -2447850.6
218.6   1650000.0   0.0 0.0 0.0 0.0 -2253904.5
218.7   1650000.0   0.0 0.0 0.0 0.0 -2235666.1
218.8   1650000.0   0.0 0.0 0.0 0.0 -2122637.1
218.9   1650000.0   0.0 0.0 0.0 0.0 -1927906.7
219.0   1650000.0   0.0 0.0 0.0 0.0 -2038456.3
219.1   1650000.0   0.0 0.0 0.0 0.0 -1950143.1
219.2   1650000.0   0.0 0.0 0.0 0.0 -1740107.3
219.3   1650000.0   0.0 0.0 0.0 0.0 -1627031.7
219.4   1650000.0   0.0 0.0 0.0 0.0 -1539141.9
219.5   1650000.0   0.0 0.0 0.0 0.0 -1479540.8
219.6   1650000.0   0.0 0.0 0.0 0.0 -1235649.2
219.7   1650000.0   0.0 0.0 0.0 0.0 -1205890.8
219.8   1650000.0   0.0 0.0 0.0 0.0 -1282309.2
219.9   1650000.0   0.0 0.0 0.0 0.0 -1070701.6
220.0   1650000.0   0.0 0.0 0.0 0.0 -1055261.0
220.1   1650000.0   0.0 0.0 0.0 0.0 -964602.7
220.2   1650000.0   0.0 0.0 0.0 0.0 -813123.5
220.3   1650000.0   0.0 0.0 0.0 0.0 -971045.2
220.4   1650000.0   0.0 0.0 0.0 0.0 -930041.5
220.5   1650000.0   0.0 0.0 0.0 0.0 -773467.1
220.6   1650000.0   0.0 0.0 0.0 0.0 -705290.0
220.7   1650000.0   0.0 0.0 0.0 0.0 -660173.3
220.8   1650000.0   0.0 0.0 0.0 0.0 -633023.0
220.9   1650000.0   0.0 0.0 0.0 0.0 -595958.2
221.0   1650000.0   0.0 0.0 0.0 0.0 -358235.8
221.1   1650000.0   0.0 0.0 0.0 0.0 -318634.9
221.2   1650000.0   0.0 0.0 0.0 0.0 -382954.2
221.3   1650000.0   0.0 0.0 0.0 0.0 -147736.2
221.4   1650000.0   0.0 0.0 0.0 0.0 -88914.9
221.5   1650000.0   0.0 0.0 0.0 0.0 65454.9
221.6   1650000.0   0.0 0.0 0.0 0.0 285848.1
221.7   1650000.0   0.0 0.0 0.0 0.0 194577.2
221.8   1650000.0   0.0 0.0 0.0 0.0 295355.2
221.9   1650000.0   0.0 0.0 0.0 0.0 507936.3
222.0   1650000.0   0.0 0.0 0.0 0.0 612725.4
222.1   1650000.0   0.0 0.0 0.0 0.0 670223.4
222.2   1650000.0   0.0 0.0 0.0 0.0 685721.1
222.3   1650000.0   0.0 0.0 0.0 0.0 868306.8
222.4   1650000.0   0.0 0.0 0.0 0.0 844087.9
222.5   1650000.0   0.0 0.0 0.0 0.0 716194.8
